CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
445270,TENNESSEE VETERANS HOME,345 COMPTON ROAD,MURFREESBORO,TN,37130,6158958850,740,Rutherford,Y,Government - State,140,97.3,,Medicare and Medicaid,N,TENNESSEE STATE VETERANS HOME BOARD,1991-07-01,TENNESSEE STATE VETERANS' HOME,704,5,3.6,3.6,3.8,3.0,N,,N,N,N,Resident,Yes,1,,1,,3,,3,,3,,4,,,,2.87795,1.46212,0.48981,1.95194,4.82989,3.89436,0.26396,0.04714,67.1,,50.0,,1,,1.28188,0.90794,2.10409,0.77962,0.62221,3.50591,3.10805,3.14716,1.59889,0.53563,5.28168,4.25865,2026-05-06,2,2,0,8,1,0,8,2025-01-30,14,6,9,623,1,0,623,161.750,,1,193155.00,1,2,"345 COMPTON ROAD,MURFREESBORO,TN,37130",35.9098,-86.377,,2026-07-01,0,0,3.6,3.6,No,No,3,Southeast
445366,W D BILL MANNING TENNESSEE STATE VETERANS HOME,2865 MAIN STREET,HUMBOLDT,TN,38343,7317848405,260,Gibson,Y,Government - State,140,134.3,,Medicare and Medicaid,N,TENNESSEE STATE VETERANS HOME BOARD,1996-02-15,TENNESSEE STATE VETERANS' HOME,704,5,3.6,3.6,3.8,3.0,N,,N,Y,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,2.48699,1.34730,0.40613,1.75343,4.24043,3.59056,0.27643,0.03314,21.9,,15.4,,0,,1.35208,0.95767,2.21932,0.82232,0.65628,3.69792,3.27827,2.57842,1.39683,0.42106,4.39631,3.72256,2023-10-19,2,2,0,8,1,0,8,2021-11-17,5,5,0,36,1,0,36,15.000,,0,0.00,0,0,"2865 MAIN STREET,HUMBOLDT,TN,38343",35.8174,-88.899,,2026-07-01,0,0,3.6,3.6,No,No,3,Southeast
445484,SENATOR BEN ATCHLEY STATE VETERANS' HOME,ONE VETERANS WAY,KNOXVILLE,TN,37931,8658628100,460,Knox,Y,Government - State,140,127.5,,Medicare and Medicaid,N,TENNESSEE STATE VETERANS HOME BOARD,2007-01-18,TENNESSEE STATE VETERANS' HOME,704,5,3.6,3.6,3.8,3.0,N,,N,N,N,Resident,Yes,5,,5,,2,,4,,1,,4,,,,2.61733,1.17799,0.71646,1.89445,4.51178,4.02019,0.35057,0.02096,42.4,,20.8,,0,,1.29962,0.92050,2.13320,0.79041,0.63082,3.55443,3.15106,2.82310,1.27060,0.77278,4.86648,4.33624,2026-03-11,2,2,0,8,1,0,8,2024-02-14,3,2,1,12,1,0,12,9.000,,0,0.00,0,0,"ONE VETERANS WAY,KNOXVILLE,TN,37931",35.9733,-84.114,22,2026-07-01,0,0,3.6,3.6,No,No,3,Southeast
445524,BRIGADIER GENERAL WENDELL H GILBERT TN STATE VETER,250 ARROWOOD DRIVE,CLARKSVILLE,TN,37042,9312454700,620,Montgomery,Y,Government - State,108,98.7,,Medicare and Medicaid,N,TENNESSEE STATE VETERANS HOME BOARD,2016-05-10,TENNESSEE STATE VETERANS' HOME,704,5,3.6,3.6,3.8,3.0,N,,N,Y,N,Resident,Yes,3,,3,,3,,2,,3,,3,,,,3.22112,1.55334,0.56480,2.11815,5.33926,4.64005,0.32051,0.04009,,26,,26,,26,1.20575,0.85402,1.97912,0.73332,0.58525,3.29769,2.92346,3.74484,1.80590,0.65663,6.20737,5.39447,2022-04-08,3,2,1,40,1,0,40,2019-06-12,3,3,0,12,1,0,12,33.000,,0,0.00,0,0,"250 ARROWOOD DRIVE,CLARKSVILLE,TN,37042",36.5799,-87.423,,2026-07-01,0,0,3.6,3.6,No,No,3,Southeast
445543,TENNESSEE STATE VETERANS HOME- CLEVELAND,1940 WESTLAND DRIVE,CLEVELAND,TN,37311,4238133600,050,Bradley,Y,Government - State,108,101.7,,Medicare and Medicaid,N,TENNESSEE STATE VETERANS HOME BOARD,2024-02-16,TENNESSEE STATE VETERANS' HOME,704,5,3.6,3.6,3.8,3.0,N,,N,N,N,Resident,Yes,5,,5,,3,,3,,2,,4,,,,2.94269,1.51991,0.56769,2.08760,5.03030,4.32923,0.34232,0.04999,56.1,,42.9,,0,,1.27834,0.90543,2.09828,0.77747,0.62049,3.49624,3.09948,3.22686,1.66669,0.62251,5.51606,4.74729,2026-01-22,3,3,0,12,1,0,12,2024-02-16,0,0,0,0,0,0,0,9.000,,0,0.00,0,0,"1940 WESTLAND DRIVE,CLEVELAND,TN,37311",35.144,-84.9,,2026-07-01,0,0,3.6,3.6,No,No,3,Southeast
465150,William E Christofferson Salt Lake Veterans Home,700 South Foothill Drive,Salt Lake City,UT,84113,8015841900,170,Salt Lake,Y,For profit - Limited Liability company,81,73.0,,Medicare and Medicaid,N,AVALON CARE CENTER - VA SALT LAKE II LLC,2000-09-21,AVALON HEALTH CARE,57,16,3.5,2.9,3.9,4.2,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,5,,,,2.55349,0.29549,1.53322,1.82871,4.38220,3.96312,1.30008,0.06321,38.5,,29.0,,1,,1.08170,0.76616,1.77552,0.65788,0.52504,2.95844,2.62271,3.30909,0.38292,1.98692,5.67893,5.13584,2026-03-19,4,3,1,44,1,0,44,2024-02-28,5,5,0,20,1,0,20,38.000,,1,12735.00,0,1,"700 South Foothill Drive,Salt Lake City,UT,84113",40.7549,-111.83,,2026-07-01,0,0,3.5,2.9,No,No,3,Mountain West
465172,George E. Wahlen Ogden Veterans Home,1102 North 1200 West,Ogden,UT,84404,8013344300,280,Weber,Y,Government - State,120,112.5,,Medicare and Medicaid,N,AVALON CARE CENTER - VA OGDEN LLC,2010-02-03,AVALON HEALTH CARE,57,16,3.5,2.9,3.9,4.2,N,,N,N,N,Resident,Yes,4,,2,,5,,5,,4,,5,,,,3.02320,0.52838,1.50051,2.02889,5.05209,4.45619,0.98041,0.02345,26.7,,14.3,,0,,1.17698,0.83364,1.93190,0.71582,0.57129,3.21901,2.85371,3.60065,0.62930,1.78712,6.01707,5.30735,2024-08-07,9,9,9,52,1,0,52,2022-12-01,3,0,3,154,0,0,154,77.500,,1,12363.00,0,1,"1102 North 1200 West,Ogden,UT,84404",41.2767,-112.01,,2026-07-01,0,0,3.5,2.9,No,No,3,Mountain West
465180,Southern Utah Veterans Home - Ivins,160 North 200 East,Ivins,UT,84738,4356345220,260,Washington,Y,For profit - Corporation,108,104.2,,Medicare and Medicaid,N,AVALON CARE CENTER - VA IVINS LLC,2013-08-14,AVALON HEALTH CARE,57,16,3.5,2.9,3.9,4.2,N,,N,N,N,Resident,Yes,5,,3,,5,,5,,4,,5,,,,3.39580,0.83804,1.55229,2.39034,5.78613,5.35906,1.20751,0.03286,36.6,,32.6,,0,,1.12860,0.79937,1.85249,0.68640,0.54781,3.08670,2.73641,4.21778,1.04090,1.92804,7.18672,6.65627,2025-05-20,11,11,10,52,1,0,52,2023-06-28,1,1,0,4,1,0,4,40.000,,0,0.00,0,0,"160 North 200 East,Ivins,UT,84738",37.1711,-113.68,,2026-07-01,0,0,3.5,2.9,No,No,3,Mountain West
465181,Mervyn Sharp Bennion Central Utah Veterans Home,1551 North Main Street,Payson,UT,84651,8014655400,240,Utah,Y,Government - State,108,103.8,,Medicare and Medicaid,N,AVALON CARE CENTER - VA PAYSON LLC,2013-10-21,AVALON HEALTH CARE,57,16,3.5,2.9,3.9,4.2,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,5,,,,3.38717,0.41534,1.88449,2.29983,5.68700,5.19429,1.43567,0.05393,33.7,,22.9,,0,,1.08180,0.76622,1.77567,0.65793,0.52509,2.95869,2.62293,4.38908,0.53820,2.44192,7.36920,6.73075,2026-04-13,1,1,0,4,1,0,4,2024-03-28,5,5,1,32,1,0,32,11.000,,0,0.00,0,0,"1551 North Main Street,Payson,UT,84651",40.0545,-111.73,,2026-07-01,0,0,3.5,2.9,No,No,3,Mountain West
475032,Vermont Veterans' Home,325 North Street,Bennington,VT,05201,8024476510,010,Bennington,N,Government - State,177,83.3,,Medicare and Medicaid,N,VERMONT VETERANS' HOME,1989-03-13,,,,,,,,N,,N,N,N,Both,Yes,2,,4,,1,,1,,,2,1,25,25,6,,,,,,,,,29.2,,12.5,,1,,,,,,,,,,,,,,2026-03-11,6,6,0,60,1,0,60,2025-01-29,5,3,3,28,1,0,28,52.000,,1,8278.00,0,1,"325 North Street,Bennington,VT,05201",42.885,-73.197,,2026-07-01,0,0,,,No,No,3,Northeast
495274,Davis and McDaniel Veterans Care Center,4550 SHENANDOAH AVE N W,ROANOKE,VA,24017,5409822860,801,Roanoke City,Y,Government - State,180,183.1,,Medicare and Medicaid,N,VIRGINIA VETERANS CARE CENTER,1992-11-17,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,4,,5,,5,,,,2.46796,0.72597,0.79581,1.52178,3.98975,3.35566,0.46849,0.05691,28.7,,20.0,,1,,1.13204,0.80181,1.85813,0.68849,0.54948,3.09610,2.74474,3.05605,0.89896,0.98544,4.94045,4.15527,2026-01-08,3,3,0,16,1,0,16,2022-01-27,1,1,0,4,1,0,4,13.000,,0,0.00,0,0,"4550 SHENANDOAH AVE N W,ROANOKE,VA,24017",37.2794,-80.013,,2026-07-01,0,0,,,No,No,3,Southeast
495393,SITTER AND BARFOOT VETERANS CARE CENTER,1601 BROADROCK BLVD,RICHMOND,VA,23224,8043718000,791,Richmond City,Y,Government - State,200,168.4,,Medicare and Medicaid,N,SITTERBARFOOT VETERANS CARE CENTER,2008-01-25,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,5,,5,,,,3.18772,0.93243,0.79450,1.72693,4.91465,4.06617,0.53164,0.12030,24.4,,25.8,,1,,1.19792,0.84847,1.96628,0.72856,0.58145,3.27629,2.90449,3.73023,1.09111,0.92971,5.75105,4.75817,2025-06-05,5,5,0,28,1,0,28,2021-05-02,13,12,1,206,1,0,206,72.500,,0,0.00,0,0,"1601 BROADROCK BLVD,RICHMOND,VA,23224",37.494,-77.47,,2026-07-01,0,0,,,No,No,3,Southeast
495433,JONES & CABACOY VETERANS CARE CENTER,2641 NIMMO PARKWAY,VIRGINIA BEACH,VA,23456,7572633077,921,Virginia Beach City,Y,Government - State,128,120.9,,Medicare and Medicaid,N,JONES & CABACOY VETERANS CARE CENTER,2024-01-18,,,,,,,,N,,N,Y,N,,Yes,,1,,1,,1,,1,,1,,1,,,2.71806,0.99118,0.88230,1.87347,4.59153,3.99460,0.56490,0.13825,29.3,,36.8,,0,,1.17620,0.83309,1.93062,0.71534,0.57091,3.21687,2.85181,,,,,,2024-01-18,,,,,,,,,,,,,,,,,,0,0.00,0,0,"2641 NIMMO PARKWAY,VIRGINIA BEACH,VA,23456",36.7532,-76.065,,2026-07-01,0,0,,,No,No,3,Southeast
505509,Spokane Veterans Home,222 EAST FIFTH,SPOKANE,WA,99202,5093445770,310,Spokane,Y,Government - State,100,97.4,,Medicare and Medicaid,N,DEPARTMENT OF VETERANS AFFAIRS SPOKANE VETERANS HOME,2001-11-21,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,5,,,,2.61451,0.01785,1.38512,1.40297,4.01747,3.63374,1.10767,0.04714,34.8,,21.9,,0,,1.39531,0.98828,2.29027,0.84861,0.67726,3.81614,3.38308,2.62665,0.01793,1.39155,4.03613,3.65062,2025-03-25,13,12,1,64,1,0,64,2024-03-14,19,10,11,76,1,0,76,67.000,,0,0.00,0,0,"222 EAST FIFTH,SPOKANE,WA,99202",47.6518,-117.41,,2026-07-01,0,0,,,No,No,3,Pacific
505516,Washington Soldiers Home,1301 ORTING-KAPOWSIN HWY E,ORTING,WA,98360,3608934515,260,Pierce,Y,Government - State,97,89.2,,Medicare and Medicaid,N,STATE OF WASHINGTON WASHINGTON SOLDIERS HOME,2007-01-01,,,,,,,,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,,2,4,,,,2.76593,0.85325,0.65098,1.50423,4.27016,3.78587,0.45356,0.06007,40.7,,33.3,,0,,1.28793,0.91222,2.11401,0.78330,0.62514,3.52245,3.12272,3.01045,0.92868,0.70854,4.64767,4.12057,2025-08-29,14,14,0,84,1,0,84,2024-07-18,13,12,1,60,1,0,60,78.000,,1,10358.00,0,1,"1301 ORTING-KAPOWSIN HWY E,ORTING,WA,98360",47.0823,-122.21,,2026-07-01,0,0,,,No,No,3,Pacific
505517,Washington Veteran Home-Retsil,1141 BEACH DRIVE,PT ORCHARD,WA,98366,3608954700,170,Kitsap,Y,Government - State,240,231.6,,Medicare and Medicaid,N,"STATE OF WASHINGTON, WASHINGTON VETERANS HOMES",2007-03-01,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,4,,4,,4,,5,,,,2.46836,0.50936,0.90583,1.41520,3.88356,3.55261,0.72375,0.03204,45.1,,26.1,,0,,1.30204,0.92222,2.13718,0.79188,0.63199,3.56106,3.15694,2.65745,0.54838,0.97523,4.18107,3.82477,2026-05-11,19,15,4,112,1,0,112,2025-04-28,25,15,10,124,1,0,124,115.000,,1,23920.00,1,2,"1141 BEACH DRIVE,PT ORCHARD,WA,98366",47.5467,-122.61,,2026-07-01,0,0,,,No,No,3,Pacific
505530,WASHINGTON STATE WALLA WALLA VETERANS HOME,92 WAINWRIGHT DRIVE,WALLA WALLA,WA,99362,5093946800,350,Walla Walla,Y,Government - State,80,77.4,,Medicare and Medicaid,N,WASHINGTON STATE WALLA WALLA VETERANS HOME,2018-03-05,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,4,,4,,,2,5,,,,4.68511,0.02974,1.69313,1.72287,6.40798,5.74908,1.38889,0.01045,22.8,,26.5,,0,,1.36969,0.97013,2.24821,0.83302,0.66483,3.74606,3.32095,4.79492,0.03044,1.73281,6.55816,5.88382,2026-02-27,13,8,5,76,1,0,76,2024-12-16,13,9,4,56,1,0,56,71.000,0,1,15935.00,0,1,"92 WAINWRIGHT DRIVE,WALLA WALLA,WA,99362",46.0421,-118.3,,2026-07-01,0,0,,,No,No,3,Pacific
525622,Soldiers Grove Health Services,101 Sunshine Blvd.,Soldiers Grove,WI,54655,6086245244,110,Crawford,N,For profit - Corporation,50,36.5,,Medicare and Medicaid,N,NSH SOLDIERS GROVE LLC,1997-08-01,NORTH SHORE HEALTHCARE,377,59,2.7,2.8,3.4,2.5,N,,N,N,N,Resident,Yes,2,,2,,3,,3,,3,,4,,,,2.21892,0.39360,1.03854,1.43214,3.65106,3.21281,0.67621,0.01663,8.8,,0.0,,0,,1.37246,0.97210,2.25277,0.83471,0.66617,3.75365,3.32768,2.26634,0.40201,1.06073,3.72908,3.28146,2025-07-21,9,9,0,92,1,0,92,2024-05-09,12,4,8,72,1,0,72,87.000,,0,0.00,0,0,"101 Sunshine Blvd.,Soldiers Grove,WI,54655",43.39,-90.767,,2026-07-01,0,0,2.7,2.8,No,No,3,Midwest
525688,WI VETERANS HOME-BOLAND HALL,21425 E SPRING ST,UNION GROVE,WI,53182,2628786702,500,Racine,Y,Government - State,158,61.4,,Medicare and Medicaid,N,STATE OF WISCONSIN,2006-12-01,,,,,,,,N,,Y,N,N,Resident,Yes,1,,1,,1,,1,,,2,5,,,,3.65525,0.41950,1.95572,2.37522,6.03047,5.56354,1.66674,0.02216,51.4,,39.4,,4,,1.15208,0.81600,1.89103,0.70068,0.55920,3.15091,2.79333,4.44752,0.51043,2.37962,7.33757,6.76942,2025-01-09,21,6,15,492,1,0,492,2023-10-16,19,5,17,282,1,0,282,439.500,,6,386235.00,2,8,"21425 E SPRING ST,UNION GROVE,WI,53182",42.6986,-88.076,,2026-07-01,0,0,,,No,No,3,Midwest
525708,WI VETERANS HOME AT CHIPPEWA FALLS,2175 E PARK AVE,CHIPPEWA FALLS,WI,54729,7157206775,080,Chippewa,Y,Government - State,72,68.8,,Medicare and Medicaid,N,STATE OF WISCONSIN,2013-02-13,,,,,,,,N,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,5,,,,2.42942,0.29098,1.22234,1.51332,3.94273,3.63161,0.90427,0.00965,37.6,,27.6,,0,,1.05187,0.74503,1.72655,0.63973,0.51056,2.87685,2.55037,3.23759,0.38777,1.62897,5.25433,4.83971,2025-06-12,5,5,1,20,1,0,20,2024-04-11,4,3,1,16,1,0,16,19.000,,0,0.00,0,0,"2175 E PARK AVE,CHIPPEWA FALLS,WI,54729",44.9298,-91.358,,2026-07-01,0,0,,,No,No,3,Midwest
525718,WI Veterans Home Moses Hall,210 Cumberlidge Ave,King,WI,54946,7152585586,670,Waupaca,N,Government - State,192,184.1,,Medicare and Medicaid,N,STATE OF WISCONSIN,2015-03-01,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,,2,5,,,,3.40118,0.68374,1.01744,1.70118,5.10236,4.59317,0.71541,0.01634,32.6,,19.3,,2,,1.11496,0.78971,1.83010,0.67810,0.54118,3.04938,2.70333,4.27616,0.85964,1.27918,6.41498,5.77480,2025-03-19,9,6,3,88,1,0,88,2024-01-31,6,3,3,36,1,0,36,75.000,,1,23520.00,0,1,"210 Cumberlidge Ave,King,WI,54946",44.3585,-89.119,22,2026-07-01,0,0,,,No,No,3,Midwest
525719,WI Veterans Hm Ainsworth Hall,N2665 Cty Rd QQ,King,WI,54946,7152585586,670,Waupaca,N,Government - State,198,98.6,,Medicare and Medicaid,N,STATE OF WISCONSIN,2015-03-01,,,,,,,,N,,N,N,N,Both,Yes,5,,3,,5,,5,,,2,5,,,,3.89966,0.66501,1.25930,1.92431,5.82397,5.21198,0.80073,0.00561,26.9,,14.3,,1,,1.18951,0.84251,1.95246,0.72344,0.57737,3.25327,2.88408,4.59560,0.78369,1.48404,6.86333,6.14212,2025-03-19,10,10,0,48,1,0,48,2024-01-31,2,1,1,20,1,0,20,41.000,,0,0.00,0,0,"N2665 Cty Rd QQ,King,WI,54946",44.3585,-89.119,22,2026-07-01,0,0,,,No,No,3,Midwest
535061,Wyoming Veterans' Skilled Nursing Facility,700 Veteran's Lane,Buffalo,WY,82834,3076845511,090,Johnson,N,Government - State,36,20.9,,Medicare and Medicaid,N,STATE OF WYOMING,2024-08-30,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,3,,3,,,2,4,,,,4.61302,1.25958,2.00756,3.26714,7.88017,6.74640,1.26094,0.00431,,26,,26,,26,1.12711,0.79832,1.85004,0.68549,0.54708,3.08261,2.73279,5.73724,1.56654,2.49681,9.80060,8.39052,2026-01-23,9,9,4,76,1,0,76,2024-07-26,7,7,0,48,1,0,48,69.000,,0,0.00,1,1,"700 Veteran's Lane,Buffalo,WY,82834",44.3351,-106.74,,2026-07-01,0,0,,,No,No,3,Mountain West
555095,VETERANS HOME OF CALIFORNIA - YOUNTVILLE -  SNF,100 CALIFORNIA DRIVE,YOUNTVILLE,CA,94599,7079444600,380,Napa,Y,Government - State,274,162.8,,Medicare and Medicaid,N,VETERANS HOME OF CALIFORNIA,1978-08-01,,,,,,,,N,,N,N,N,Resident,Yes,4,,3,,2,,3,,1,,5,,,,4.32545,0.52256,2.16958,2.69214,7.01759,5.98344,1.47059,0.02495,26.2,,18.8,,1,,1.07364,0.76045,1.76228,0.65297,0.52113,2.93638,2.60315,5.64748,0.68228,2.83269,9.16245,7.81222,2026-03-26,6,6,0,36,1,0,36,2025-03-07,21,8,13,168,1,0,168,69.000,,0,0.00,0,0,"100 CALIFORNIA DRIVE,YOUNTVILLE,CA,94599",38.3944,-122.36,,2026-07-01,0,0,,,No,No,3,Pacific
555795,Veterans Home Of California - Chula Vista,700 EAST NAPLES COURT,CHULA VISTA,CA,91911,6194826010,470,San Diego,Y,Government - State,180,110.2,,Medicare and Medicaid,N,VETERANS HOME OF CALIFORNIA-CHULA VISTA,2002-07-18,,,,,,,,Y,,N,N,N,Both,Yes,5,,4,,4,,4,,,2,5,,,,3.18613,0.61354,1.00489,1.61843,4.80456,4.23612,0.71029,0.08341,17.3,,22.2,,0,,1.24422,0.88127,2.04228,0.75672,0.60393,3.40293,3.01675,3.58960,0.69124,1.13214,5.41299,4.77257,2026-01-16,6,3,3,32,1,0,32,2025-01-30,21,11,10,108,1,0,108,51.000,0,1,8018.00,0,1,"700 EAST NAPLES COURT,CHULA VISTA,CA,91911",32.6218,-117.03,,2026-07-01,0,0,,,No,No,3,Pacific
555853,Veterans Home Of California - Barstow,100 EAST VETERANS PARKWAY,BARSTOW,CA,92311,7602526288,460,San Bernardino,Y,Government - State,60,38.9,,Medicare and Medicaid,N,VETERANS HOME OF CALIFORNIA BARSTOW,2008-10-28,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,5,,,,3.52559,0.92722,1.22133,2.14856,5.67415,5.04674,0.76756,0.00160,22.9,,28.6,,2,,1.14287,0.80948,1.87591,0.69507,0.55473,3.12572,2.77100,4.32433,1.13729,1.49803,6.95965,6.19010,2026-04-23,1,1,0,4,1,0,4,2025-05-01,5,4,1,28,1,0,28,10.000,,0,0.00,0,0,"100 EAST VETERANS PARKWAY,BARSTOW,CA,92311",34.8677,-117.02,,2026-07-01,0,0,,,No,No,3,Pacific
555891,Veterans Home Of California - Redding,3400 KNIGHTON ROAD,REDDING,CA,96002,5302243300,550,Shasta,Y,Government - State,60,39.9,,Medicare and Medicaid,N,DEPARTMENT OF VETERANS AFFAIRS OF THE STATE OF CALIFORNIA,2015-04-29,,,,,,,,Y,,N,N,N,Both,Yes,5,,4,,5,,5,,,2,5,,,,2.91166,0.68071,2.32817,3.00888,5.92054,5.00144,1.56824,0.30058,38.9,,28.6,,0,,0.95162,0.67402,1.56200,0.57876,0.46190,2.60267,2.30731,4.28903,1.00272,3.42951,8.72126,7.36738,2026-04-23,6,4,2,48,1,0,48,2025-04-10,10,6,4,48,1,0,48,48.000,0,1,8278.00,0,1,"3400 KNIGHTON ROAD,REDDING,CA,96002",40.5056,-122.35,,2026-07-01,0,0,,,No,No,3,Pacific
555900,VETERANS HOME OF CALIFORNIA - FRESNO,2811 W CESAR CHAVEZ BLVD,FRESNO,CA,93706,5594934400,090,Fresno,Y,Government - State,120,107.7,,Medicare and Medicaid,N,DEPARTMENT OF VETERANS AFFAIRS OF THE STATE OF CALIFORNIA,2016-09-22,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,5,,,,3.21283,1.29764,1.52193,2.81957,6.03240,5.32633,0.95557,0.05217,28.3,,18.8,,0,,1.15612,0.81886,1.89766,0.70313,0.56116,3.16196,2.80313,3.89554,1.57338,1.84533,7.31426,6.45816,2026-01-30,10,7,3,72,1,0,72,2025-02-27,9,6,2,48,1,0,48,66.000,1,0,0.00,0,0,"2811 W CESAR CHAVEZ BLVD,FRESNO,CA,93706",36.7024,-119.84,22,2026-07-01,0,0,,,No,No,3,Pacific
555917,VETERANS HOME OF CALIFORNIA - WEST LOS ANGELES,11500 NIMITZ AVENUE,LOS ANGELES,CA,90049,4248328200,200,Los Angeles,Y,Government - State,312,143.1,,Medicare and Medicaid,N,DEPARTMENT OF VETERANS AFFAIRS OF THE STATE OF CALIFORNIA,2019-11-21,,,,,,,,N,,N,N,N,Resident,Yes,3,,2,,4,,4,,,2,5,,,,3.46758,1.12751,1.22501,2.35252,5.82010,5.25875,0.85558,0.03355,35.3,,23.3,,0,,1.06231,0.75242,1.74369,0.64608,0.51563,2.90540,2.57569,4.57569,1.48783,1.61647,7.67999,6.93927,2025-12-12,10,8,3,100,1,0,100,2024-12-06,20,9,9,132,1,0,132,108.000,2,0,0.00,0,0,"11500 NIMITZ AVENUE,LOS ANGELES,CA,90049",34.0784,-118.49,22,2026-07-01,0,0,,,No,No,3,Pacific
675857,William R Courtney Texas State Veterans Home,1424 Martin Luther King Jr Ln,Temple,TX,76504,2547918280,120,Bell,Y,For profit - Limited Liability company,160,151.7,,Medicare and Medicaid,N,STATE OF TEXAS VETERANS LAND BOARD,2000-12-21,TEXVET,503,9,3.0,2.6,3.9,4.0,N,,Y,N,N,Resident,Yes,1,,1,,4,,4,,,2,1,23,23,23,,,,,,,,,,26,,26,,26,,,,,,,,,,,,,2025-03-07,9,3,7,253,1,0,253,2024-01-12,14,7,7,235,1,0,235,248.500,0,3,53476.00,0,3,"1424 Martin Luther King Jr Ln,Temple,TX,76504",31.0816,-97.343,,2026-07-01,0,0,3.0,2.6,No,No,3,South Central
